gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000168255.13,POLR2J3,-9.672853866513568,-0.03386358179377226,3.9325577784477094e-22,0.2906505281742119,0.360379829140572,2.31688961704224e-91,2.65585318939e-90,98,99.0,101
ENSG00000147905.13,ZCCHC7,7.4218008439566026,0.05356233189188928,1.1553845897189758e-13,0.07440545207294297,0.0903952045489377,1.02211364951131e-20,3.02726756863e-20,20,21.0,21
ENSG00000159208.11,C1orf51,-7.398840278164899,-0.18123071441522812,1.3737896922766616e-13,0.0064066489672929385,0.00827514717614364,0.0057067052083605,0.00818947638912,6,6.0,6
ENSG00000132906.13,CASP9,-6.774867472246288,-0.04701434579718695,1.2452034997464979e-11,0.07142500852499542,0.121817250461228,8.37137274975151e-28,2.98159411809e-27,33,33.0,34
ENSG00000088538.12,DOCK3,-6.543626490476118,-0.0721762823961452,6.004465248945106e-11,0.02846381175561286,0.0241398807664823,2.13567884974294e-06,3.75353964905e-06,23,23.0,23
ENSG00000102967.7,DHODH,6.471665014512739,0.03591041950321673,9.69288245970201e-11,0.12289508787585449,0.103346405596575,1.30660562553833e-23,4.19432188495e-23,57,58.0,59
ENSG00000166148.2,AVPR1A,6.206538057828556,0.061744150082504626,5.41645084808647e-10,0.0362481459941195,0.0631495984549415,9.5791949858323e-15,2.34381529181e-14,16,16.0,16
ENSG00000247626.3,MARS2,6.177364320480885,0.05976899399129794,6.518054754693566e-10,0.04219874073964458,0.0518930818743097,2.56165929649996e-12,5.78624842981e-12,20,20.0,20
ENSG00000135486.13,HNRNPA1,6.0489291151855085,0.2424570867855046,1.458117926200934e-09,0.002328218934942759,0.00511458219456025,0.0299018201599818,0.040522365812,6,6.0,6
ENSG00000110514.14,MADD,5.978653772847427,0.02973585541252396,2.2498917002472005e-09,0.1458394993772835,0.125583709498735,1.14190960404653e-28,4.16507654248e-28,53,53.0,54
ENSG00000158748.3,HTR6,-5.914023094705807,-0.014844682658629938,3.3385104381473303e-09,0.6300437318196225,0.67427214490627,2.62142256322464e-226,1.75262723758e-224,55,55.0,56
ENSG00000164061.4,BSN,-5.8880680105926455,-0.02750888850054713,3.907363321847065e-09,0.16094790666081718,0.243124474331997,1.19347169425009e-57,7.85568000248e-57,40,40.0,41
ENSG00000139133.2,ALG10,-5.852749309286517,-0.05300008465845096,4.83512663031946e-09,0.044293906684952235,0.0470938144597905,2.73813631091931e-11,5.95410159338e-11,25,26.0,26
ENSG00000008405.7,CRY1,5.689063045923968,0.23951975848656043,1.2773830511239096e-08,0.0021240212269835385,0.00379655087419224,0.0614588267904365,0.0810365609828,10,10.0,10
ENSG00000133477.11,FAM83F,-5.670096054726778,-0.09441915575741143,1.4271748169868414e-08,0.013490675328172243,0.0148549731030412,0.000207532132178104,0.000327158074556,16,16.0,16
ENSG00000095321.12,CRAT,-5.564891460335607,-0.017588350853127883,2.623156321383941e-08,0.3320559288489867,0.440692662010398,3.28475031785874e-118,5.5968236011e-117,21,21.0,21
ENSG00000136279.14,DBNL,5.552662657598474,0.02355614780538185,2.8135070942526816e-08,0.2018953387752488,0.188535731224723,1.10701017335286e-43,5.54810920595e-43,71,72.0,72
ENSG00000205639.5,MFSD2B,-5.54555850462108,-0.0458726107032816,2.9301733634894807e-08,0.05354095730985659,0.0783467086491086,4.66260674192485e-18,1.27435553845e-17,28,28.0,28
ENSG00000176490.4,DIRAS1,5.502732286794151,0.018146486213307035,3.7395004151117043e-08,0.33813155310505066,0.369751820711932,2.5734138061253e-94,3.07014793845e-93,14,14.0,14
ENSG00000008283.11,CYB561,-5.498407533997383,-0.11202600264189118,3.832364085077227e-08,0.008407302511726665,0.0142077027352096,0.000286342242123631,0.000448284045051,11,11.0,11
ENSG00000115896.11,PLCL1,-5.448443831369454,-0.020245377596783704,5.081243250325164e-08,0.2858025141455628,0.333962986080281,2.92679628307481e-83,2.97674392621e-82,49,49.0,50
ENSG00000205659.6,LIN52,5.434803006541848,0.020905597498326645,5.485700323458039e-08,0.23359067267213401,0.328218672711629,1.53367947754009e-81,1.51085208666e-80,13,13.0,13
ENSG00000196366.1,C9orf163,5.4031392300271515,0.3528366258443925,6.548459011898594e-08,0.0007034641661399946,2.15704162469094e-05,0.888001085288464,1.0,6,6.0,6
ENSG00000204851.5,PNMAL2,-5.347589197139417,-0.012119868819591892,8.913348806950998e-08,0.6928651961649871,0.652439613377139,2.43406611120023e-213,1.33025247928e-211,70,70.0,70
ENSG00000161040.12,FBXL13,5.326202030543017,0.030437874473058627,1.0028758172363209e-07,0.10720013806297844,0.0999738583488782,7.46792522070625e-23,2.35086145033e-22,84,84.0,85
ENSG00000174851.10,YIF1A,-5.322159520286803,-0.06430585365994729,1.0254258902539787e-07,0.026026167183609283,0.0496430093462602,7.78614970804457e-12,1.72616357187e-11,6,6.0,6
ENSG00000127418.10,FGFRL1,-5.283765709969263,-0.03026504172241596,1.2655508442334121e-07,0.10218700028462921,0.111951096598623,1.48840224779087e-25,5.01759559909e-25,30,30.0,30
ENSG00000113758.9,DBN1,-5.282889784867042,-0.040152956093834416,1.2716189981346796e-07,0.06761958475694044,0.111596243830965,1.79146609382739e-25,6.02538302395e-25,15,15.0,16
ENSG00000144485.6,HES6,-5.271535152893059,-0.024093415503826918,1.352873690259219e-07,0.17402998868540331,0.231032199554533,1.79592869657063e-54,1.11104635334e-53,24,24.0,24
ENSG00000183763.4,TRAIP,-5.258023457486428,-0.23695806825451649,1.456119495060773e-07,0.0017448817682213249,2.24378311335736e-05,0.885786482709117,1.0,7,7.0,7
ENSG00000105429.8,MEGF8,5.256705178953014,0.31220608243154374,1.466591371026811e-07,0.0008429427394456112,0.000554562466609098,0.475112139244829,0.569762540835,2,2.0,2
ENSG00000135452.5,TSPAN31,-5.254306618694695,-0.024329982327354897,1.4858316937416204e-07,0.15410216806844004,0.165877932040174,3.74384426374959e-38,1.68466596508e-37,70,70.0,70
