gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000049245.12,VAMP3,8.87149076054834,0.3858236377147434,7.217313799773382e-19,0.001931388050327713,0.04044744403774416,0.013702779871343846,NA,14,15,15
ENSG00000266472.5,MRPS21,8.443642755856136,0.33991601587936354,3.075983042131269e-17,0.002200501616139185,0.043500783124614285,0.008656182792384256,NA,12,12,12
ENSG00000114735.9,HEMK1,6.785416814028867,0.13178798727561533,1.1575183183279386e-11,0.01154182697870859,0.040207387628435794,0.013453873724565595,NA,51,52,52
ENSG00000139133.6,ALG10,-6.675740326382912,-0.09978226480021278,2.4598719325626723e-11,0.01593004361108221,0.05648368015270538,0.0030731000763845515,NA,28,29,29
ENSG00000108733.9,PEX12,6.541247170244531,0.08957423411958798,6.100790406024076e-11,0.016884453264512496,0.1397738494852708,2.814217998646909e-06,NA,41,41,41
ENSG00000148384.12,INPP5E,-5.844407397390299,-0.1028397301050971,5.083747423950699e-09,0.012044688915636755,0.21760007819067692,2.8881028842392036e-10,NA,19,19,19
ENSG00000110514.19,MADD,5.799879490861013,0.18609786993866562,6.636259324277534e-09,0.002951603506151917,0.06601382395984327,0.0017655926690571286,NA,6,6,6
ENSG00000164924.17,YWHAZ,5.491227650977305,0.25382168238039693,3.991494645262069e-08,0.0017921180658482568,0.05269056085540321,0.0041868822304837175,NA,20,21,21
ENSG00000172638.12,EFEMP2,-5.36343443374203,-0.1316739591956119,8.165429960195754e-08,0.005442401420179855,0.04421096593857316,0.008745958364950254,NA,72,72,72
ENSG00000110768.11,GTF2H1,5.280818763204985,0.06287917518838697,1.2860786025811418e-07,0.023396668192225127,0.19015413126494127,1.7000449713159495e-09,NA,37,37,37
ENSG00000132436.11,FIGNL1,5.271663852635526,0.043340027969431996,1.351925167511809e-07,0.048684417790144284,0.2492647216532682,2.620888437085263e-11,NA,18,18,18
ENSG00000165113.12,GKAP1,-5.143069390505512,-0.14102821542622596,2.70285732940815e-07,0.004422345163052518,0.11218782739058687,2.509386413027788e-05,NA,19,20,20
ENSG00000181754.6,AMIGO1,-5.118967041093964,-0.12010771789167142,3.072136387480906e-07,0.006099979253901661,0.05550205797674334,0.004392224021228797,NA,78,78,78
ENSG00000101104.12,PABPC1L,5.034995499670828,0.07868614984364401,4.77860059725901e-07,0.015546755374464547,0.25640390236776256,3.2875213161419976e-11,NA,15,15,15
ENSG00000008283.15,CYB561,-4.921260899409482,-0.06868663306379726,8.598840921328012e-07,0.0183519997927054,0.3097103634555932,7.498384918561787e-15,NA,21,21,21
ENSG00000182628.12,SKA2,4.9156076109864735,0.12341853100810665,8.850751660895044e-07,0.005813455176490763,0.07474489242664363,0.0008061573097573647,NA,16,16,16
ENSG00000109163.6,GNRHR,4.862007108719624,0.03258654673387236,1.1620144876152485e-06,0.08753123089001635,0.08121919279862895,0.0003813276491019786,NA,87,88,88
ENSG00000170703.15,TTLL6,-4.713299317569287,-0.07040557961923909,2.437377612596016e-06,0.013743317933718746,0.11455929623400178,2.416381489406981e-05,NA,16,16,16
