gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000168255.13,POLR2J3,-9.67285386651357,-0.0338635817937723,3.93255777844771e-22,0.290650528174212,0.360379829140572,2.31688961704224e-91,2.65585318939e-90,98,99,101
ENSG00000147905.13,ZCCHC7,7.4218008439566,0.0535623318918893,1.15538458971898e-13,0.074405452072943,0.0903952045489377,1.02211364951131e-20,3.02726756863e-20,20,21,21
ENSG00000159208.11,C1orf51,-7.3988402781649,-0.181230714415228,1.37378969227666e-13,0.00640664896729294,0.00827514717614364,0.0057067052083605,0.00818947638912,6,6,6
ENSG00000132906.13,CASP9,-6.77486747224629,-0.047014345797187,1.2452034997465e-11,0.0714250085249954,0.121817250461228,8.37137274975151e-28,2.98159411809e-27,33,33,34
ENSG00000088538.12,DOCK3,-6.54362649047612,-0.0721762823961452,6.00446524894511e-11,0.0284638117556129,0.0241398807664823,2.13567884974294e-06,3.75353964905e-06,23,23,23
ENSG00000102967.7,DHODH,6.47166501451274,0.0359104195032167,9.69288245970201e-11,0.122895087875854,0.103346405596575,1.30660562553833e-23,4.19432188495e-23,57,58,59
ENSG00000166148.2,AVPR1A,6.20653805782856,0.0617441500825046,5.41645084808647e-10,0.0362481459941195,0.0631495984549415,9.5791949858323e-15,2.34381529181e-14,16,16,16
ENSG00000247626.3,MARS2,6.17736432048089,0.0597689939912979,6.51805475469357e-10,0.0421987407396446,0.0518930818743097,2.56165929649996e-12,5.78624842981e-12,20,20,20
ENSG00000135486.13,HNRNPA1,6.04892911518551,0.242457086785505,1.45811792620093e-09,0.00232821893494276,0.00511458219456025,0.0299018201599818,0.040522365812,6,6,6
ENSG00000110514.14,MADD,5.97865377284743,0.029735855412524,2.2498917002472e-09,0.145839499377284,0.125583709498735,1.14190960404653e-28,4.16507654248e-28,53,53,54
ENSG00000158748.3,HTR6,-5.91402309470581,-0.0148446826586299,3.33851043814733e-09,0.630043731819623,0.67427214490627,2.62142256322464e-226,1.75262723758e-224,55,55,56
ENSG00000164061.4,BSN,-5.88806801059265,-0.0275088885005471,3.90736332184706e-09,0.160947906660817,0.243124474331997,1.19347169425009e-57,7.85568000248e-57,40,40,41
ENSG00000139133.2,ALG10,-5.85274930928652,-0.053000084658451,4.83512663031946e-09,0.0442939066849522,0.0470938144597905,2.73813631091931e-11,5.95410159338e-11,25,26,26
ENSG00000008405.7,CRY1,5.68906304592397,0.23951975848656,1.27738305112391e-08,0.00212402122698354,0.00379655087419224,0.0614588267904365,0.0810365609828,10,10,10
ENSG00000133477.11,FAM83F,-5.67009605472678,-0.0944191557574115,1.42717481698684e-08,0.0134906753281722,0.0148549731030412,0.000207532132178104,0.000327158074556,16,16,16
ENSG00000095321.12,CRAT,-5.56489146033561,-0.0175883508531279,2.62315632138394e-08,0.332055928848987,0.440692662010398,3.28475031785874e-118,5.5968236011e-117,21,21,21
ENSG00000136279.14,DBNL,5.55266265759847,0.0235561478053819,2.81350709425268e-08,0.201895338775249,0.188535731224723,1.10701017335286e-43,5.54810920595e-43,71,72,72
ENSG00000205639.5,MFSD2B,-5.54555850462108,-0.0458726107032816,2.93017336348948e-08,0.0535409573098566,0.0783467086491086,4.66260674192485e-18,1.27435553845e-17,28,28,28
ENSG00000176490.4,DIRAS1,5.50273228679415,0.018146486213307,3.7395004151117e-08,0.338131553105051,0.369751820711932,2.5734138061253e-94,3.07014793845e-93,14,14,14
ENSG00000008283.11,CYB561,-5.49840753399738,-0.112026002641891,3.83236408507723e-08,0.00840730251172666,0.0142077027352096,0.000286342242123631,0.000448284045051,11,11,11
