"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000249484.8","LINC01470",-7.9211873838801,-0.142987882049418,2.35253090173493e-15,0.0109199613672805,0.0641820144191104,0.00107143175375522,NA,34,34,34,1.17391291996573e-11
"ENSG00000266472.5","MRPS21",7.78801756318721,0.187272272202983,6.80687218944686e-15,0.00589108726863163,0.0687293322336266,0.000588771112895554,NA,5,6,6,1.69831461126699e-11
"ENSG00000067560.10","RHOA",-6.40325260389124,-0.402104987209615,1.52101229557756e-10,0.000795238717234401,0.0347813120409237,0.0187705584694754,NA,5,5,5,2.52995045164401e-07
"ENSG00000254532.1","RP11-624D11.2",-6.16394940873419,-0.0273988091515213,7.09526201748717e-10,0.173414463910662,0.311556137077664,1.51377978611949e-15,NA,65,65,65,8.85133936681524e-07
"ENSG00000115524.15","SF3B1",-6.01167458745729,-0.233983313723114,1.83616619569408e-09,0.0022178000807291,0.0710016658850043,0.000668987089941076,NA,11,11,11,1.83249386330269e-06
"ENSG00000161048.11","NAPEPLD",-5.87869447764515,-0.160804114262877,4.13514786207756e-09,0.00530074385923908,0.077832661257386,0.000334919440427757,NA,25,25,25,3.43906463862784e-06
"ENSG00000114378.16","HYAL1",-5.74121427536011,-0.172163707161931,9.40000568774083e-09,0.00429687253761806,0.0555808280961041,0.00144613272531999,NA,1,1,1,6.38922293279041e-06
"ENSG00000176732.6","PFN4",5.72665126210764,0.0848590229351667,1.02432431788223e-08,0.0158818550464541,0.143713344537677,2.58812938118031e-07,NA,39,39,39,6.38922293279041e-06
"ENSG00000108733.9","PEX12",5.67420651258018,0.103067861966851,1.39332966844452e-08,0.0106984719628329,0.0854449503413119,0.000143542839267534,NA,27,28,28,7.72523893948684e-06
"ENSG00000188338.14","SLC38A3",5.62462381741343,0.241167253136093,1.85912666010912e-08,0.00205853952148252,0.0501307021952119,0.00361081259038224,NA,20,21,21,9.27704203394451e-06
"ENSG00000169251.12","NMD3",-5.55091280070933,-0.19467567106828,2.8418181872997e-08,0.00313561636792596,0.0382417265218905,0.0134844302622253,NA,16,16,16,1.26804983608917e-05
"ENSG00000173209.22","AHSA2",-5.53857546471564,-0.0308665041449041,3.04941844350102e-08,0.117892229942401,0.511108986956035,2.56717776238632e-29,NA,48,48,48,1.26804983608917e-05
"ENSG00000132436.11","FIGNL1",5.5124764307502,0.0493284109517028,3.53819584491685e-08,0.0424694595341664,0.269305239542641,2.93692112278914e-13,NA,30,30,30,1.35812286662578e-05
